Country Name,Country Code,"Stocks, Transactions, and Other Flows Name","Stocks, Transactions, and Other Flows Code",Sector Name,Sector Code,Unit Name,Unit Code,Residence Name,Residence Code,Instrument and Assets Classification Name,Instrument and Assets Classification Code,Attribute,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Indicator Code,Global DSD Time Series Code,Unnamed: 64
"Azerbaijan, Rep. of",912,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6300000,-126000000,53200000,-282600000,-76300000,-940700000,705500000,-530500000,-1187100000,-1158800000,-1641100000,-1123000000,,GADL_T_G14_XDC,A|AZ|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Bahamas, The",313,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,96900000,105100000,73200000,84400000,50500000,14600000,79400000,149602000,69817000,48918000,22300000,73000000,145600000,226500000,206352000,178029000,192649000,273410000,260000000,392994000,316250000,153647000,351132000,781292000,467543000,506247000,344196000,580306685.68,684380392.327525,293052665.69,,GADL_T_G14_XDC,A|BS|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Bahrain, Kingdom of",419,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,2799999.99999999,167900000,158900000,41200000,129200000,63500000,110700000,68800000,92400000,165400000,165400000,26900000,-54600000,133900000,-191900000,-260000,43550000,134930000,166480000,664090000,1021130000,820813649.8,644349616.82,1293340000,252200000,1739000000,1560800000,1875000000,1724000000,1353000000,,GADL_T_G14_XDC,A|BH|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Bangladesh,513,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113788250000,84222810000,79362340000,105975930000,127559711000,154108583000,138858005000,288004699000,215052847000,223867513000,328414200000,341849900000,399159900000,421579600000,562302600000,636980000000,,,,,GADL_T_G14_XDC,A|BD|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Barbados,316,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66842000,,243522000,90592075.91,1064292431,642711695,958055091,917475438,672447699,1064638560,877257957,930408918,999907560,464422181,,,,,GADL_T_G14_XDC,A|BB|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
"Belarus, Rep. of",913,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,320,4840,91020,312100,387110,952750,803340,1348380,,12410000,12397000,45846130,55908200,104500900,99111400,336931100,465002058.4,966890097.56257,422928218.1875,2400790000,391930000,183983000,185056720,-437648954.52,-24572219.9,2152596415,243082839.9,426979364.7,,GADL_T_G14_XDC,A|BY|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Belgium,124,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,9038197913.23231,13401123949.2413,12689669533.1421,14060520725.1381,5148748509.54018,,,,,,,,,,,,,,,,,,,,,,,,,,,GADL_T_G14_XDC,A|BE|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Belize,339,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,18854000,23201000,55885000,55693000,35304000,38048000,56897000,-951000,10736000,47987000,201577000,85219000,136280000,219676000,363923000,-185318000,56649000,39695000,-15352000,19875000,102289000,63644000,,,,,,,,,,GADL_T_G14_XDC,A|BZ|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Benin,638,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3996076090,10272003511,32187000000,-11520000000,,35460733000,77381078300,195513814420,189975650088,90192171631,133506866004.598,80828197113.8131,161000000000,,,,,,,,GADL_T_G14_XDC,A|BJ|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Bhutan,514,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,16600000,26900000,-20500000,205300000,95000000,,199200000,470600000,390000000,47000000,245900000,-311400000,46600000,-4200000,-239800000,299898000,-147800000,308900000,768900000,2540648000,1181401000,2895691000,-556304000,2492438000,215476000,354845000,-1319205000,-1218709000,192542000,509203000,-1216775317,484096000,-704151000,20608321822.1065,29363972454.16,17877066775.3384,11376443311.7,,,GADL_T_G14_XDC,A|BT|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Bolivia,218,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,33500000,-218400000,-12000000,248300000,-202400000,-82200000,644900000,1382800000,1449700000,1291900000,1595300000,3811150000,3781426633.94,5491907679.1,5026500000,3043163205.14,-9228161177.53,272738352.58,,,,,,,,,,,,,,GADL_T_G14_XDC,A|BO|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Bosnia and Herzegovina,963,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153134193.9,122434469.41,115014852.83,-66627137.13,74137540.4500001,422186364.103,1146585420.06376,444244649.951,342137989.7,714967603.5,467085132.4,920427281.540925,75431428.9413542,226971329.296941,-831450033.375275,-115866192.86059,379695868.56844,,GADL_T_G14_XDC,A|BA|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Botswana,616,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,-50920000,176400000,-57200000,163600000,12500000,-18200000,101500000,,,,,,,,,,-578670000,211410000,88510000.0000001,5189640000,4462310000,387129999.999999,-2450730000,1521070000,1005390000,-2491367000,-4776360000,1106876183,-1458530000,1277650000,,GADL_T_G14_XDC,A|BW|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
Brazil,223,Net incurrence of liabilities,G33,Budgetary central government,S1311B,Domestic currency,XDC,Total,W0|S1,Total financial assets/liabilities ,F,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253712888518.243,199434031337.825,272629008783.485,154238953600.414,313641591079.06,543394938846.2,533801742242.227,552482041350.95,423539821128.119,478412686140.685,,GADL_T_G14_XDC,A|BR|S1311B|W0|S1|G33|F|_Z|_Z|XDC|_T|_X,
