ID,Dimension_Number,Codelist
GFSYSSUC2014,2,CL_AREA_GFSYSSUC2014
GFSYSSUC2014,3,CL_SECTOR_GFSYSSUC2014
GFSYSSUC2014,4,CL_UNIT_GFSYSSUC2014
GFSYSSUC2014,5,CL_INDICATOR_GFSYSSUC2014
GFSIBS2015,1,CL_FREQ
GFSIBS2015,2,CL_AREA_GFSIBS2015
GFSIBS2015,3,CL_SECTOR_GFSIBS2015
GFSIBS2015,4,CL_UNIT_GFSIBS2015
GFSIBS2015,5,CL_GFS_STO_GFSIBS2015
GFSIBS2015,6,CL_INSTR_ASSET_GFSIBS2015
GFSIBS2015,7,CL_COUNTERPART_AREA_GFSIBS2015
GFSFALCS2015,1,CL_FREQ
GFSFALCS2015,2,CL_AREA_GFSFALCS2015
GFSFALCS2015,3,CL_SECTOR_GFSFALCS2015
GFSFALCS2015,4,CL_UNIT_GFSFALCS2015
GFSFALCS2015,5,CL_INDICATOR_GFSFALCS2015
GFSFALCS2015,6,CL_COUNTERPART_SECTOR_GFSFALCS2015
GFSYR2014,1,CL_FREQ
GFSYR2014,2,CL_AREA_GFSYR2014
GFSYR2014,3,CL_SECTOR_GFSYR2014
GFSYR2014,4,CL_UNIT_GFSYR2014
GFSYR2014,5,CL_INDICATOR_GFSYR2014
GFSSSUC2015,1,CL_FREQ
GFSSSUC2015,2,CL_AREA_GFSSSUC2015
GFSSSUC2015,3,CL_SECTOR_GFSSSUC2015
GFSSSUC2015,4,CL_UNIT_GFSSSUC2015
GFSSSUC2015,5,CL_INDICATOR_GFSSSUC2015
GFSFALCS2017,1,CL_FREQ
GFSFALCS2017,2,CL_AREA_GFSFALCS2017
GFSFALCS2017,3,CL_SECTOR_GFSFALCS2017
GFSFALCS2017,4,CL_UNIT_GFSFALCS2017
GFSFALCS2017,5,CL_INDICATOR_GFSFALCS2017
GFSFALCS2017,6,CL_COUNTERPART_SECTOR_GFSFALCS2017
GFSYE2014,1,CL_FREQ
GFSYE2014,2,CL_AREA_GFSYE2014
GFSYE2014,3,CL_SECTOR_GFSYE2014
GFSYE2014,4,CL_UNIT_GFSYE2014
GFSYE2014,5,CL_INDICATOR_GFSYE2014
GFSCOFOG2017,1,CL_FREQ
GFSCOFOG2017,2,CL_AREA_GFSCOFOG2017
GFSCOFOG2017,3,CL_SECTOR_GFSCOFOG2017
GFSCOFOG2017,4,CL_UNIT_GFSCOFOG2017
GFSCOFOG2017,5,CL_COFOG_GFSCOFOG2017
GFSE2017,1,CL_FREQ
GFSE2017,2,CL_AREA_GFSE2017
GFSE2017,3,CL_SECTOR_GFSE2017
GFSE2017,4,CL_UNIT_GFSE2017
GFSE2017,5,CL_INDICATOR_GFSE2017
GFSR2017,1,CL_FREQ
GFSR2017,2,CL_AREA_GFSR2017
GFSR2017,3,CL_SECTOR_GFSR2017
GFSR2017,4,CL_UNIT_GFSR2017
GFSR2017,5,CL_INDICATOR_GFSR2017
GFSR2019,1,CL_FREQ
GFSR2019,2,CL_AREA_GFSR2019
GFSR2019,3,CL_SECTOR_GFSR2019
GFSR2019,4,CL_UNIT_GFSR2019
GFSR2019,5,CL_INDICATOR_GFSR2019
GFSSSUC2019,1,CL_FREQ
GFSSSUC2019,2,CL_AREA_GFSSSUC2019
GFSSSUC2019,3,CL_SECTOR_GFSSSUC2019
GFSSSUC2019,4,CL_UNIT_GFSSSUC2019
GFSSSUC2019,5,CL_INDICATOR_GFSSSUC2019
GFSE2019,1,CL_FREQ
GFSE2019,2,CL_AREA_GFSE2019
GFSE2019,3,CL_OBJ41393180_GFSE2019
GFSE2019,4,CL_UNIT_GFSE2019
GFSE2019,5,CL_INDICATOR_GFSE2019
GFSFALCS2019,1,CL_FREQ
GFSFALCS2019,2,CL_AREA_GFSFALCS2019
GFSFALCS2019,3,CL_SECTOR_GFSFALCS2019
GFSFALCS2019,4,CL_UNIT_GFSFALCS2019
GFSFALCS2019,5,CL_INDICATOR_GFSFALCS2019
GFSFALCS2019,6,CL_COUNTERPART_SECTOR_GFSFALCS2019
GFSCOFOG2019,1,CL_FREQ
GFSCOFOG2019,2,CL_AREA_GFSCOFOG2019
GFSCOFOG2019,3,CL_SECTOR_GFSCOFOG2019
GFSCOFOG2019,4,CL_UNIT_GFSCOFOG2019
GFSCOFOG2019,5,CL_COFOG_GFSCOFOG2019
GFSIBS2019,1,CL_FREQ
GFSIBS2019,2,CL_AREA_GFSIBS2019
GFSIBS2019,3,CL_SECTOR_GFSIBS2019
GFSIBS2019,4,CL_UNIT_GFSIBS2019
GFSIBS2019,5,CL_GFS_STO_GFSIBS2019
GFSIBS2019,6,CL_INSTR_ASSET_GFSIBS2019
GFSIBS2019,7,CL_COUNTERPART_AREA_GFSIBS2019
GFSMAB2019,1,CL_FREQ
GFSMAB2019,2,CL_AREA_GFSMAB2019
GFSMAB2019,3,CL_SECTOR_GFSMAB2019
GFSMAB2019,4,CL_UNIT_GFSMAB2019
GFSMAB2019,5,CL_INDICATOR_GFSMAB2019
GFSMAB2020,1,CL_FREQ
GFSMAB2020,2,CL_AREA_GFSMAB2020
GFSMAB2020,3,CL_SECTOR_GFSMAB2020
GFSMAB2020,4,CL_UNIT_GFSMAB2020
GFSMAB2020,5,CL_INDICATOR_GFSMAB2020
GFSSSUC2020,1,CL_FREQ
GFSSSUC2020,2,CL_AREA_GFSSSUC2020
GFSSSUC2020,3,CL_SECTOR_GFSSSUC2020
GFSSSUC2020,4,CL_UNIT_GFSSSUC2020
GFSSSUC2020,5,CL_INDICATOR_GFSSSUC2020
GFSCOFOG2020,1,CL_FREQ
GFSCOFOG2020,2,CL_AREA_GFSCOFOG2020
GFSCOFOG2020,3,CL_SECTOR_GFSCOFOG2020
GFSCOFOG2020,4,CL_UNIT_GFSCOFOG2020
GFSCOFOG2020,5,CL_COFOG_GFSCOFOG2020
GFSR2020,1,CL_FREQ
GFSR2020,2,CL_AREA_GFSR2020
GFSR2020,3,CL_SECTOR_GFSR2020
GFSR2020,4,CL_UNIT_GFSR2020
GFSR2020,5,CL_INDICATOR_GFSR2020
GFSFALCS2020,1,CL_FREQ
GFSFALCS2020,2,CL_AREA_GFSFALCS2020
GFSFALCS2020,3,CL_SECTOR_GFSFALCS2020
GFSFALCS2020,4,CL_UNIT_GFSFALCS2020
GFSFALCS2020,5,CL_INDICATOR_GFSFALCS2020
GFSFALCS2020,6,CL_COUNTERPART_SECTOR_GFSFALCS2020
GFSIBS2020,1,CL_FREQ
GFSIBS2020,2,CL_AREA_GFSIBS2020
GFSIBS2020,3,CL_SECTOR_GFSIBS2020
GFSIBS2020,4,CL_UNIT_GFSIBS2020
GFSIBS2020,5,CL_GFS_STO_GFSIBS2020
GFSIBS2020,6,CL_INSTR_ASSET_GFSIBS2020
GFSIBS2020,7,CL_COUNTERPART_AREA_GFSIBS2020
GFSE2020,1,CL_FREQ
